id,cltv
89393,107785.7858
89394,123949.6043
89395,108854.7566
89396,92552.56577
89397,151697.7151
89398,110055.5144
89399,49269.68347
89400,114628.5537
89401,39676.11045
89402,133716.341
89403,128691.7437
89404,106960.1684
89405,61400.49072
89406,51941.57112
89407,64406.26573
89408,137185.4686
89409,122740.9109
89410,125458.0866
89411,121445.6755
89412,127056.2463
89413,134750.0745
89414,40135.3568
89415,62624.20181
89416,113636.2075
89417,127650.4194
89418,95647.2263
89419,41389.06718
89420,132337.8039
89421,136280.1238
89422,124720.1753
89423,134835.9813
89424,40708.22781
89425,120969.7517
89426,129442.0201
89427,116653.0971
89428,113650.3642
89429,112453.388
89430,58128.32488
89431,125286.9152
89432,119300.5166
89433,55937.99058
89434,49830.49868
89435,40521.68062
89436,118065.5892
89437,59722.63516
89438,131242.1973
89439,41229.06756
89440,131606.9072
89441,134962.1347
89442,68827.08267
89443,112870.2864
89444,94682.3564
89445,113599.3424
89446,95531.82613
89447,123599.1786
89448,127919.2495
89449,127761.7267
89450,126925.7175
89451,119549.4153
89452,124397.5182
89453,120018.0768
89454,128834.161
89455,117371.7598
89456,121543.1483
89457,117105.0198
89458,125614.0005
89459,117748.4665
89460,123734.3176
89461,114124.6973
89462,91883.15409
89463,120232.503
89464,129761.5959
89465,122904.4618
89466,42254.299
89467,120577.7236
89468,35791.7014
89469,100773.22
89470,27124.15281
89471,138643.4966
89472,121282.8189
89473,125669.5318
89474,121685.5647
89475,120832.3289
89476,137757.3516
89477,69832.56092
89478,130389.6802
89479,123906.5261
89480,106321.9021
89481,45731.5994
89482,42234.09974
89483,110791.1843
89484,48894.34686
89485,120711.8044
89486,130317.9921
89487,116358.8521
89488,96531.2135
89489,51732.06886
89490,100538.4401
89491,114150.5458
89492,106344.2488
89493,41345.60894
89494,56312.4576
89495,120411.0377
89496,112466.4291
89497,128471.1442
89498,118158.2615
89499,52746.61704
89500,115267.1288
89501,70322.67688
89502,35859.94275
89503,136081.676
89504,139663.413
89505,94732.67298
89506,50552.88762
89507,117520.6505
89508,92010.63025
89509,140878.1896
89510,48631.21322
89511,122942.1348
89512,131596.6995
89513,116436.2544
89514,130606.1526
89515,106819.884
89516,51709.47711
89517,110830.8044
89518,51279.72194
89519,128478.8327
89520,59925.53376
89521,115631.7562
89522,53018.15775
89523,55661.90956
89524,52651.20621
89525,97306.46435
89526,66900.78498
89527,65629.79601
89528,109951.6716
89529,114062.6892
89530,126973.3712
89531,130292.9753
89532,44235.06912
89533,68867.80347
89534,104187.7649
89535,119843.8614
89536,117909.8978
89537,121587.3967
89538,130861.3335
89539,167255.9663
89540,47573.2094
89541,122938.4956
89542,108145.696
89543,54625.12361
89544,106352.3393
89545,39774.81503
89546,151232.5693
89547,97784.4845
89548,126359.9649
89549,106985.3155
89550,61680.38008
89551,112438.9654
89552,105293.9465
89553,126899.5528
89554,67754.26936
89555,43084.94976
89556,102441.9316
89557,116362.41
89558,138461.8005
89559,115542.2781
89560,56867.96575
89561,127923.2888
89562,129232.1207
89563,104142.2285
89564,132065.4043
89565,105082.8843
89566,125379.5952
89567,103243.3175
89568,126902.5302
89569,108862.5007
89570,129087.2884
89571,118792.826
89572,64878.26243
89573,36301.42111
89574,48519.23136
89575,147133.3538
89576,131011.5857
89577,30664.19921
89578,110541.8467
89579,127526.1506
89580,125642.1962
89581,121124.4405
89582,34728.17641
89583,113019.3972
89584,97391.16222
89585,54395.02088
89586,51947.06633
89587,44228.36222
89588,35524.80159
89589,40881.49632
89590,133276.8344
89591,141189.1087
89592,115634.8061
89593,125896.1283
89594,109872.4213
89595,115997.7025
89596,93945.17678
89597,55562.72677
89598,116001.7448
89599,118976.3186
89600,115363.7119
89601,124370.2275
89602,137344.4315
89603,115628.4788
89604,129143.7494
89605,120444.0001
89606,142734.4213
89607,115176.6679
89608,124822.759
89609,107378.9656
89610,111771.7597
89611,111811.1265
89612,145276.9431
89613,115726.3391
89614,45110.56774
89615,112633.0332
89616,124743.3842
89617,37204.06856
89618,100617.6913
89619,38455.61318
89620,105982.7047
89621,134244.2006
89622,107563.0018
89623,121612.9231
89624,133993.19
89625,56331.38661
89626,113112.6843
89627,43185.27096
89628,58703.10609
89629,129252.5666
89630,116844.1323
89631,122913.2681
89632,37557.64454
89633,113994.4168
89634,118948.6855
89635,118462.4268
89636,121322.0195
89637,46139.35495
89638,95582.64234
89639,118363.4872
89640,116229.6204
89641,48853.9597
89642,37159.67309
89643,98101.95806
89644,120971.2353
89645,122568.9952
89646,120977.2704
89647,40630.78998
89648,39866.63213
89649,114897.9491
89650,109719.6891
89651,94901.78586
89652,102497.0597
89653,119273.5295
89654,114257.3708
89655,131390.1271
89656,112880.3546
89657,32460.91646
89658,130911.3479
89659,126644.4175
89660,114599.9898
89661,106761.0615
89662,125513.4031
89663,60207.07481
89664,53641.23843
89665,108210.5943
89666,38513.52319
89667,57033.13304
89668,129704.9761
89669,116497.6783
89670,131538.0928
89671,115885.7778
89672,115550.4325
89673,50617.13193
89674,132900.2581
89675,108241.1633
89676,40452.64408
89677,42097.49876
89678,126213.0802
89679,130652.1814
89680,36748.99693
89681,121711.8398
89682,30875.5299
89683,136649.9977
89684,107165.8634
89685,122682.1204
89686,52915.75424
89687,37500.90093
89688,122198.9489
89689,59923.73757
89690,121802.3005
89691,49566.6447
89692,116254.9096
89693,137994.5021
89694,122096.2659
89695,115086.1495
89696,115556.5947
89697,64549.08459
89698,119790.6313
89699,40534.86183
89700,42504.0786
89701,101337.1174
89702,134179.0736
89703,45031.89873
89704,134203.1035
89705,129804.9598
89706,111556.5175
89707,34407.27881
89708,133430.0959
89709,59119.73344
89710,117329.4118
89711,119370.56
89712,117504.6939
89713,114517.0505
89714,140861.1272
89715,132764.4082
89716,60131.84161
89717,143371.3948
89718,100150.2724
89719,121492.7769
